id,medium,publicaties,seed_url,scope_domain,categorie,provincie,regio,stad,mediumthema,contact_trefwoorden,prioriteit,catalogusbron
nnp_uitgeverij_de_bunschoter,Uitgeverij De Bunschoter,Uitgeverij De Bunschoter,http://www.debunschoter.nl/,debunschoter.nl,lokale krant of uitgever,Utrecht,Eemland,Bunschoten-Spakenburg,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_das_mediacentrum,DAS Mediacentrum,DAS Mediacentrum,http://www.dasmediacentrum.nl,dasmediacentrum.nl,lokale krant of uitgever,Noord-Brabant,De Peel,Deurne,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_den_heijer_uitgeverij,Den Heijer Uitgeverij,Den Heijer Uitgeverij,http://www.de-scheveninger.nl,de-scheveninger.nl,lokale krant of uitgever,Zuid-Holland,Haaglanden,Scheveningen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_van_dijk_grafimedia,Van Dijk Grafimedia,Van Dijk Grafimedia,http://www.varnws.nl/,varnws.nl,lokale krant of uitgever,Utrecht,Vechtstreek,Breukelen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_dordt_centraal,Dordt Centraal,Dordt Centraal,http://www.dordtcentraal.nl,dordtcentraal.nl,lokale krant of uitgever,Zuid-Holland,Drechtsteden,Dordrecht,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_eendrachtbode,Eendrachtbode,Eendrachtbode,http://www.eendrachtbode.nl/,eendrachtbode.nl,lokale krant of uitgever,Zeeland,Tholen,Sint-Annaland,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_eilanden_nieuws,Eilanden-Nieuws,Eilanden-Nieuws,http://www.eilandennieuws.nl/,eilandennieuws.nl,lokale krant of uitgever,Zuid-Holland,Goeree-Overflakkee,Middelharnis,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_enter_media,Enter Media,Enter Media,http://www.entermedia.nl,entermedia.nl,lokale krant of uitgever,Noord-Holland,Gooi en Vechtstreek,Weesp,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_flevodruk_harlingen_bv,Flevodruk Harlingen BV,Flevodruk Harlingen BV,http://www.harlingercourant.nl,harlingercourant.nl,lokale krant of uitgever,Friesland,Noordwest-Friesland,Harlingen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_graficelly,Graficelly,Graficelly,http://www.kijkopbodegraven-reeuwijk.nl/,kijkopbodegraven-reeuwijk.nl,lokale krant of uitgever,Zuid-Holland,Groene Hart,Reeuwijk,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitgeverij_groot_hellevoet,Uitgeverij Groot Hellevoet,Uitgeverij Groot Hellevoet,http://www.groothellevoet.nl/,groothellevoet.nl,lokale krant of uitgever,Zuid-Holland,Voorne-Putten,Hellevoetsluis,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_grootmedia,GrootMedia,GrootMedia,http://www.grootmedia.nl,grootmedia.nl,lokale krant of uitgever,Friesland,Zuidwest-Friesland,Sneek,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_hart_van_holland,Hart van Holland,Hart van Holland,http://www.hartvanzuidplas.nl,hartvanzuidplas.nl,lokale krant of uitgever,Zuid-Holland,Zuidplas,Zevenhuizen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitgeverij_jevanhet,Uitgeverij JeVanHet,Uitgeverij JeVanHet,http://www.wereldregio.nl/,wereldregio.nl,lokale krant of uitgever,Zeeland,Schouwen-Duiveland,Zierikzee,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_de_huis_aan_huis_reklamix,De huis aan huis Reklamix,De huis aan huis Reklamix,http://www.drukkerijdekroonolst.nl,drukkerijdekroonolst.nl,lokale krant of uitgever,Overijssel,Salland,,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_kontakt_mediapartners,Kontakt Mediapartners,Kontakt Mediapartners,http://www.hetkontakt.nl/,hetkontakt.nl,lokale krant of uitgever,Zuid-Holland,Alblasserwaard,Goudriaan,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_mediabureau_langeveld_en_de_rooy_b_v,Mediabureau Langeveld en de Rooy B.V.,Mediabureau Langeveld en de Rooy B.V.,http://www.texelsecourant.nl/,texelsecourant.nl,lokale krant of uitgever,Noord-Holland,Texel,Den Burg,algemeen nieuws,,normaal,https://www.nnp.nl/leden
